날짜,종가,시가,고가,저가,거래량,변동 %
2016-12-29,"2,026.46","2,020.42","2,026.57","2,016.25",264.52M,0.10%
2016-12-28,"2,024.49","2,021.86","2,029.69","2,020.86",356.59M,-0.87%
2016-12-27,"2,042.17","2,040.74","2,044.43","2,037.12",384.03M,0.22%
2016-12-26,"2,037.75","2,038.33","2,039.76","2,034.80",366.64M,0.09%
2016-12-23,"2,035.90","2,036.17","2,037.71","2,031.54",310.88M,0.01%
2016-12-22,"2,035.73","2,041.61","2,042.90","2,033.99",275.10M,-0.11%
2016-12-21,"2,037.96","2,049.47","2,053.46","2,037.96",284.57M,-0.19%
2016-12-20,"2,041.94","2,044.87","2,047.38","2,040.81",314.22M,0.17%
2016-12-19,"2,038.39","2,039.40","2,046.03","2,037.04",249.87M,-0.19%
2016-12-16,"2,042.24","2,037.35","2,043.60","2,033.23",289.71M,0.27%
2016-12-15,"2,036.65","2,022.14","2,040.62","2,021.76",300.19M,-0.01%
2016-12-14,"2,036.87","2,043.07","2,044.42","2,031.18",384.03M,0.04%
2016-12-13,"2,035.98","2,026.39","2,035.99","2,023.61",383.36M,0.43%
2016-12-12,"2,027.24","2,031.95","2,031.95","2,020.97",289.80M,0.13%
2016-12-09,"2,024.69","2,024.52","2,026.83","2,019.79",225.66M,-0.31%
2016-12-08,"2,031.07","2,008.31","2,031.07","2,007.57",239.43M,1.97%
2016-12-07,"1,991.89","1,995.69","1,997.62","1,987.26",204.41M,0.10%
2016-12-06,"1,989.86","1,976.51","1,993.47","1,976.51",214.65M,1.35%
2016-12-05,"1,963.36","1,965.71","1,971.24","1,960.65",237.19M,-0.37%
2016-12-02,"1,970.61","1,980.14","1,981.64","1,966.42",243.18M,-0.66%
2016-12-01,"1,983.75","1,987.48","1,989.08","1,979.67",217.88M,0.01%
2016-11-30,"1,983.48","1,980.38","1,988.44","1,977.09",233.09M,0.26%
2016-11-29,"1,978.39","1,977.10","1,982.53","1,972.31",214.57M,0.01%
2016-11-28,"1,978.13","1,976.58","1,983.43","1,966.78",213.58M,0.19%
2016-11-25,"1,974.46","1,972.60","1,978.45","1,969.09",201.94M,0.16%
2016-11-24,"1,971.26","1,985.11","1,988.96","1,968.50",235.44M,-0.84%
2016-11-23,"1,987.95","1,987.64","1,996.65","1,981.22",308.20M,0.23%
2016-11-22,"1,983.47","1,976.07","1,986.82","1,974.05",231.37M,0.89%
2016-11-21,"1,966.05","1,971.03","1,976.23","1,962.42",223.51M,-0.43%
2016-11-18,"1,974.58","1,983.07","1,983.26","1,968.13",306.96M,-0.30%
2016-11-17,"1,980.55","1,976.21","1,983.87","1,968.80",272.17M,0.05%
